Anna,185859
Sara,1064
Sophie,101537
Laura,57321
Sarah,85318
Lena,65296
Julia,92186
Leonie,43055
Lara,34428
Mia,34739
Emma,44840
Lea,43248
Marie,98652
Emilia,67880
Katharina,98883
Sophia,890
Amelie,27643
Emily,594
Johanna,49839
Marlene,30679
Valentina,33690
Hannah,589
Clara,504
Viktoria,43565
Elena,68156
Isabella,39532
Maria,521
Vanessa,24845
Victoria,441
Alina,20812
Nina,35023
Valerie,9454
Lina,14650
Anastasia,1601
Luisa,27825
Magdalena,47474
Helena,690
Angelina,2717
Elif,2462
Lisa,61651
Azra,420
Nora,11836
Ella,10403
Larissa,6128
Nisa,310
Selina,20474
Teodora,369
Olivia,7541
Paula,9065
Franziska,10451
Ana,264
Annika,20110
Hanna,451
Amina,4296
Chiara,38878
Jasmin,33748
Kristina,114
Sofia,485
Andjela,128
Jana,314
Zeynep,1299
Ecrin,232
Livia,2354
Melissa,9006
Maya,295
Klara,306
Melanie,34466
Stella,772
Alexandra,16500
Melina,2558
Michelle,130
Pia,7426
Tuana,115
Carolina,121
Leona,201
Lilly,9303
Tamara,12873
Anastasija,190
Elina,206
Anja,16937
Caroline,22861
Ela,504
Hana,280
Jessica,3073
Nikolina,187
Aylin,252
Elisabeth,28507
Miriam,327
Zoe,7592
Alma,841
Charlotte,4884
Dilara,125
Elisa,12175
Kimberly,123
Lana,265
Lorena,968
Paulina,6569
Selin,127
Celine,96
Esma,160
Flora,1236
Jasmina,98
Nicole,25985
Samantha,113
Yagmur,72
Celina,4945
Emely,116
Helene,143
Maja,10264
Marija,128
Matilda,5804
Rosa,4897
Zehra,136
Ajla,72
Alisa,145
Beyza,75
Carla,179
Diana,242
Irem,59
Karoline,69
Melisa,151
Eva,24543
Isabel,124
Jovana,66
Katarina,161
Luise,166
Melek,130
Meryem,194
Mona,674
Natalia,105
Rana,76
Christina,62852
Fatima,238
Frida,1686
Katja,71
Natalie,15212
Nathalie,35
Rebecca,1020
Sofija,257
Stefanie,39315
Antonia,7365
Fiona,279
Ida,1819
Ines,3624
Lilli,89
Mariam,105
Marina,347
Patricia,3385
Pauline,110
Stephanie,54
Theresa,38581
Adriana,121
Aischa,55
Aleksandra,112
Aleyna,63
Amelia,210
Ayse,68
Elsa,127
Fatma,83
Helin,44
Jennifer,14888
Linda,5020
Lucia,593
Mariella,78
Mathilda,166
Medina,168
Mina,253
Mira,1080
Naomi,178
Vanesa,37
Viktorija,52
Anika,91
Büsra,29
Carmen,53
Daniela,22837
Esila,160
Iris,473
Ivana,55
Larisa,62
Leonora,390
Lia,1074
Melike,46
Merve,61
Milena,228
Nadja,49
Ronja,409
Sandra,28079
