z,a,m,e,half_life
0,1, ,nn,614.6
1,1, ,H,0.0
1,2, ,H,0.0
1,3, ,H,3.8910502e8
1,4, ,H,1.3899999e-22
1,5, ,H,9.100001e-22
1,6, ,H,2.9e-22
1,7, ,H,2.3e-23
2,3, ,He,0.0
2,4, ,He,0.0
2,5, ,He,7.0e-22
2,6, ,He,0.80810004
2,7, ,He,2.9000001e-21
2,8, ,He,0.122
2,9, ,He,7.0e-21
2,10, ,He,2.7000001e-21
3,4, ,Li,9.1e-23
3,5, ,Li,3.7e-22
3,6, ,Li,0.0
3,7, ,Li,0.0
3,8, ,Li,0.838
3,9, ,Li,0.1783
3,10, ,Li,2.0e-21
3,11, ,Li,0.00875
3,12, ,Li,1.0e-8
4,5, ,Be,1.0e-9
4,6, ,Be,5.0e-21
4,7, ,Be,4.59821e6
4,8, ,Be,7.0e-17
4,9, ,Be,0.0
4,10, ,Be,5.04922e13
4,11, ,Be,13.81
4,12, ,Be,0.021300001
4,13, ,Be,5.0e-10
4,14, ,Be,0.00435
4,15, ,Be,2.0e-7
4,16, ,Be,2.0e-7
5,6, ,B,1.0e-9
5,7, ,B,3.5e-22
5,8, ,B,0.77
5,9, ,B,8.0e-19
5,10, ,B,0.0
5,11, ,B,0.0
5,12, ,B,0.0202
5,13, ,B,0.01733
5,14, ,B,0.0125
5,15, ,B,0.00987
5,16, ,B,1.9e-10
5,17, ,B,0.00508
5,18, ,B,2.5999999e-8
5,19, ,B,0.00292
6,8, ,C,2.0e-21
6,9, ,C,0.1265
6,10, ,C,19.29
6,11, ,C,1221.66
6,12, ,C,0.0
6,13, ,C,0.0
6,14, ,C,1.79874e11
6,15, ,C,2.449
6,16, ,C,0.747
6,17, ,C,0.19299999
6,18, ,C,0.092
6,19, ,C,0.0462
6,20, ,C,0.016
6,21, ,C,3.0e-8
6,22, ,C,0.0061999997
7,10, ,N,2.0e-22
7,11, ,N,5.9e-22
7,12, ,N,0.011
7,13, ,N,598.01996
7,14, ,N,0.0
7,15, ,N,0.0
7,16, ,N,7.13
7,17, ,N,4.17
7,18, ,N,0.622
7,19, ,N,0.271
7,20, ,N,0.13
7,21, ,N,0.087
7,22, ,N,0.0139
7,23, ,N,0.0145000005
7,24, ,N,5.1999997e-8
7,25, ,N,2.5999998e-7
8,12, ,O,5.8e-22
8,13, ,O,0.00858
8,14, ,O,70.605995
8,15, ,O,122.46
8,16, ,O,0.0
8,17, ,O,0.0
8,18, ,O,0.0
8,19, ,O,26.91
8,20, ,O,13.509999
8,21, ,O,3.42
8,22, ,O,2.25
8,23, ,O,0.09
8,24, ,O,0.065
8,25, ,O,5.0e-8
8,26, ,O,4.0e-8
8,27, ,O,2.5999998e-7
8,28, ,O,1.0e-7
9,14, ,F,1.0e-9
9,15, ,F,4.1e-22
9,16, ,F,1.10000005e-20
9,17, ,F,64.49
9,18, ,F,6584.04
9,19, ,F,0.0
9,20, ,F,11.030001
9,21, ,F,4.158
9,22, ,F,4.23
9,23, ,F,2.23
9,24, ,F,0.4
9,25, ,F,0.05
9,26, ,F,0.010199999
9,27, ,F,0.0049
9,28, ,F,4.0e-8
9,29, ,F,0.0026
9,30, ,F,2.5999998e-7
9,31, ,F,0.001
10,16, ,Ne,9.0e-21
10,17, ,Ne,0.1092
10,18, ,Ne,1.672
10,19, ,Ne,17.22
10,20, ,Ne,0.0
10,21, ,Ne,0.0
10,22, ,Ne,0.0
10,23, ,Ne,37.2
10,24, ,Ne,202.80002
10,25, ,Ne,0.602
10,26, ,Ne,0.197
10,27, ,Ne,0.032
10,28, ,Ne,0.0183
10,29, ,Ne,0.0156
10,30, ,Ne,0.0058000004
10,31, ,Ne,0.0034
10,32, ,Ne,0.0035
10,33, ,Ne,2.5999998e-7
10,34, ,Ne,0.001
11,18, ,Na,1.3e-21
11,19, ,Na,4.0e-8
11,20, ,Na,0.4479
11,21, ,Na,22.490002
11,22, ,Na,8.21395e7
11,23, ,Na,0.0
11,24, ,Na,53848.8
11,24,M,Na,0.0202
11,25, ,Na,59.6
11,26, ,Na,1.08
11,27, ,Na,0.301
11,28, ,Na,0.0305
11,29, ,Na,0.044899996
11,30, ,Na,0.0484
11,31, ,Na,0.017
11,32, ,Na,0.0128999995
11,33, ,Na,0.0082
11,34, ,Na,0.0055
11,35, ,Na,0.0015
11,36, ,Na,2.5999998e-7
11,37, ,Na,0.001
12,20, ,Mg,0.09
12,21, ,Mg,0.122
12,22, ,Mg,3.8755
12,23, ,Mg,11.317
12,24, ,Mg,0.0
12,25, ,Mg,0.0
12,26, ,Mg,0.0
12,27, ,Mg,567.48
12,28, ,Mg,75240.0
12,29, ,Mg,1.3
12,30, ,Mg,0.33499998
12,31, ,Mg,0.22999999
12,32, ,Mg,0.095
12,33, ,Mg,0.090500005
12,34, ,Mg,0.02
12,35, ,Mg,0.07
12,36, ,Mg,0.005
12,37, ,Mg,0.04
12,38, ,Mg,0.001
12,39, ,Mg,2.5999998e-7
12,40, ,Mg,0.001
13,21, ,Al,3.5e-8
13,22, ,Al,0.059
13,23, ,Al,0.46999997
13,24, ,Al,2.053
13,24,M,Al,0.1313
13,25, ,Al,7.183
13,26, ,Al,2.26263e13
13,26,M,Al,6.345
13,27, ,Al,0.0
13,28, ,Al,134.45999
