#name		#Ntoa #nw   #Ared #gamma #Years	#DECJ	#RADJ
J0023+0923	12516 0.285 0 0	6.0	00:23:16.8791	+09:23:23.86890
J0030+0451	12543 0.200 0.003 6.3	12.4	00:30:27.42838	+04:51:39.707
J0340+4130	8069 0.446 0 0	5.3	00:34:21.83424	−05:34:36.722
J0613-0200	13201 0.178 0.123 2.1	12.2	06:13:43.975698	−02:00:47.22547
J0636+5128	21374 0.640 0 0	3.5	06:36:04.84619	+51:28:59.9657
J0645+5158	7893 0.207 0 0	6.1	06:45:59.081909	+51:58:14.92069
J0740+6620	3328 0.132 0 0 	3.5	07:40:45.7927	+66:20:33.520
J0931-1902	3712 0.452 0 0	4.3	09:31:19.1174	−19:02:55.022
J1012+5307	19307 0.272 0.406 1.6	12.9	10:12:33.43753	+53:07:02.300
J1024-0719	9792 0.334 0 0	7.7	10:24:38.67540	−07:19:19.43375
J1125+7819	4821 0.862 0 0 	3.5	11:25:59.83 	+78:19:48.71
J1453+1902	1555 0.606 0 0 	3.9	14:53:45.7193	+19:02:12.12
J1455-3330	8408 0.656 0 0	12.9	14:55:47.9701	-33:30:46.39
J1600-3053	14374 0.245 0 0	9.6	16:00:51.90305	-30:53:49.397
J1614-2230	12775 0.177 0 0	8.8	16:14:36.5073	-22:30:31.27	
J1640+2224	9256 0.177 0 0	12.3	16:40:16.7450	+22:24:08.824
J1643-1224	12798 0.534 1.498 1.4	12.7	16:43:38.1618	-12:24:58.68
J1713+0747	37698 0.069 0.030 1.3	12.4	17:13:49.53356	+07:47:37.4825
J1738+0333	6977 0.276 0 0	7.6	17:38:53.9680	+03:33:10.883
J1741+1351	3845 0.156 0 0	5.9	17:41:31.14473	+13:51:44.116
J1744-1134	13380 0.307 0.155 2.2	12.9	17:44:29.4057891	-11:34:54.68126
J1747-4036	7572 1.414 0.709 3.3	5.3	17:47:48.7165	-40:36:54.79
J1832-0836	5364 0.187 0 0	4.3	18:32:27.59289	-08:36:55.017 
J1853+1303	3544 0.110 0.140 2.2	6.0	18:53:57.3183	+13:03:44.051
J1857+0943 	6464 0.357 0.054 3.4	12.5	18:57:36.39042	+09:43:17.196	
J1903+0327	4854 0.315 1.482 1.6	7.6	19:03:05.793213	+03:27:19.20911
J1909-3744	22633 0.061 0.028 2.7	12.7	19:09:47.434674	-37:44:14.46674	
J1910+1256	5012 0.187 0 0	8.3	19:10:09.7014	+12:56:25.459
J1911+1347	2625 0.118 0 0	3.9	19:11:55.20362	+13:47:34.359
J1918-0642	13675 0.299 0 0	12.7	19:18:48.03272	-06:42:34.900
J1923+2515	3009 0.269 0 0	5.8	19:23:22.4926	+25:15:40.592
J1939+2134	17024 0.103 0.099 3.3	12.8	19:39:38.561224	+21:34:59.12570
J1944+0907	3931 0.365 0 0	9.3	19:44:09.3309	+09:07:23.006
J1946+3417	3016 0.468 0 0	2.6	19:46:25.131145	+34:17:14.68898
J1955+2908	3421 0.475 0 0	5.9	19:55:27.8753	+29:08:43.436
J2010-1323	13306 0.244 0 0	7.8	20:10:45.9211	-13:23:56.083
J2017+0603	2986 0.076 0 0	5.3	20:17:22.7052	+06:03:05.564
J2033+1734	2691 0.561 0 0	3.8	20:33:27.5118	+17:34:58.470
J2043+1711	5624 0.151 0 0	5.9	20:43:20.88164	+17:11:28.908
J2145-0750	13961 0.328 0.347 2.1	12.8	21:45:50.4588	-07:50:18.514
J2214+3000	6269 0.402 0 0	5.7	22:14:38.8525	+30:00:38.193
J2229+2643	2442 0.194 0 0	3.9	22:29:50.8845	+26:43:57.648
J2234+0611	2475 0.061 0 0	3.4	22:34:23.073090	+06:11:28.68633
J2234+0944	5892 0.160 0 0	4.0	22:34:46.8538	+09:44:30.247
J2302+4442	7833 0.716 0 0	5.3	23:02:46.9783	+44:42:22.085
J2317+1439	9835 0.252 4e-4 6.5	12.5	23:17:09.2364	+14:39:31.265
J2322+2057	2093 0.235 0 0	2.3	23:22:22.33516	+20:57:02.6772
# Alam 2020 Table 3 Downloaded
