#name           #Ntoa #rms   #log10Ared #gamma #Years	#RAJ	#DECJ
J0030+0451	907	4.1	-14.65	5.43	15.1	00:30:27.427	+04:51:39.71
J0034−0534	276	4.0	-14.93	1.27	13.5 	00:34:21.83422	−05:34:36.722
J0218+4232	1196	7.4	-13.32	2.78	17.6	02:18:06.358569	+42:32:17.37515
J0610−2100	1034    4.9	-12.85  0.23	6.9	06:10:13.595462	−21:00:27.9313
J0613−0200	1369	1.8	-16.15  6.88	16.1	06:13:43.975672	−02:00:47.22533
J0621+1002	673	15.6	-12.04  2.50	11.8	06:21:22.11436	+10:02:38.7352
J0751+1807	1491	3.0	-19.50  4.86	17.6	07:51:09.155331	+18:07:38.4864
J0900−3144	875	3.1	-15.58  5.04	6.9	09:00:43.953088	−31:44:30.89520
J1012+5307	1459	1.6	-13.07  1.52	16.8	10:12:33.437521	53:07:02.29999
J1022+1001	908	2.5	-13.08  1.70	17.5	10:22:57.9957	+10:01:52.765
J1024−0719	561	8.3	-13.69  3.17	17.3	10:24:38.675378	−07:19:19.43395
J1455−3330	524	2.7 	-16.31  4.03	9.2	14:55:47.969869	−33:30:46.3801
J1600−3053	531	0.46	-16.56  2.71	7.7	16:00:51.903338	−30:53:49.37542
J1640+2224	595	1.8	-13.11  0.12	17.3	16:40:16.7450	+22:24:08.824
J1643−1224	759	1.7	-19.04  3.44	17.3	16:40:16.744834	22:24:08.84121
J1713+0747	1188	0.68	-15.29  5.62	17.7	17:13:49.53356	+07:47:37.4825
J1721−2457	150	11.7	-16.50  6.68	12.8	17:21:05.4979	−24:57:06.17
J1730−2304	285	1.6	-16.33  0.11	16.7	17:30:21.66835	−23:04:31.16
J1738+0333	318	3.0	-15.34  0.36	7.3	17:38:53.9680	+03:33:10.883
J1744−1134	536	0.86	-13.85  2.90	17.3	17:44:29.407537	−11:34:54.69437
J1751−2857	144	3.0	-19.67  6.32	8.3	17:51:32.693197	−28:57:46.520
J1801−1417	126	2.6	-17.96  6.45	7.1	18:01:51.07333	−14:17:34.526
J1802−2124	522	2.7	-19.55  6.88	7.2	18:02:05.335	−21:24:03.653
J1804−2717	116	3.1	-18.45  4.18	8.4	18:04:21.133	−27:17:31.335
J1843−1113	224	0.71	-17.38  5.43	10.1	18:43:41.26191	−11:13:31.0686
J1853+1303	101	1.6	-15.59  5.83	8.4	18:53:57.3183	+13:03:44.051 
J1857+0943	444	1.7	-13.37  2.53	17.3	18:57:36.39042	+09:43:17.196
J1909−3744	425	0.13	-14.18  2.17	9.4	19:09:47.433573	−37:44:14.51561
J1910+1256	112	1.9	-16.72  0.09	8.5	19:10:09.7014	+12:56:25.459
J1911+1347	140	1.4	-14.84  6.85	7.5	19:11:55.20362	+13:47:34.359
J1911−1114	130	4.8	-18.94  3.55	8.8	19:11:49.28233	−11:14:22.481
J1918−0642	278	3.0	-14.07  4.57	12.8	19:18:48.033114	−06:42:34.8896
J1939+2134	3174	34.5	-14.86  6.89	24.1	19:39:38.561224	+21:34:59.12570
J1955+2908	157	6.5	-17.54  4.95	8.1	19:55:27.8753	+29:08:43.436
J2010−1323	390	1.9	-17.75  2.26	7.4	20:10:45.920637	−13:23:56.0668
J2019+2425	130	9.6	-15.49  2.07	9.1	20:19:31.94900	+24:25:15.3038
J2033+1734	194	12.7	-19.52  0.19	7.9	20:33:27.5118	+17:34:58.470
J2124−3358	544	3.2	-16.98  6.07	9.4	21:24:43.84782	−33:58:44.9190
J2145−0750	800	1.8	-14.29  4.83	17.5	21:45:50.460593	−07:50:18.4876
J2229+2643	316	4.2	-15.69  4.55	8.2	22:29:50.8845	+26:43:57.648
J2317+1439	555	2.4	-15.05  0.88	17.3	23:17:09.2364	+14:39:31.265
J2322+2057	229	5.9	-19.91  6.37	7.9	23:22:22.33516	+20:57:02.6772
# Desvignes et al. 2016 Table I&A.I
