#name           #Ntoa #rms   #log10Ared #gamma #Years	#RAJ	#DEJ	#sig_w
J0437−4715	3820 0.15	-13.96	2.0	12	04:37:15.912533	−47:15:09.2086	0.11		
J0613−0200	969 1.38	-16.89	3.4	12	06:13:43.975698	−02:00:47.22547	1.14
J0711−6830	1017 1.58	-14.1	4.2	12	07:11:54.18529	−68:30:47.39498	1.44
J1017−7156      524 0.76	-13.5	3.6	5.54	10:17:51.328	−71:56:41.645	nan	
J1022+1001     	1008 2.11	-16.9	2.9	12	10:22:57.9957	+10:01:52.765	1.97
J1024−0719	679 3.61	-14.6	6.1	12	10:24:38.675401	−07:19:19.43375	1.71
J1045−4509	854 3.35	-12.85	2.0	12	10:45:50.18621	−45:09:54.1151	3.19
J1125−6014	203 1.29	-14.5	6.0	10.12	11:25:44.365	−58:25:16.8798	nan
J1446−4701	161 1.47	inf	0	5.19	14:46:35.71432	−47:01:26.7616	nan
J1545−4550	215 1.01	inf	0	4.74	15:45:55.9459	−45:50:37.5272	nan
J1600−3053	969 0.71	-16.8	3.3	12	16:00:51.903355	−30:53:49.3751	nan
J1603−7202	747 1.43	-13.3	2.4	12	16:03:35.67676	−72:02:32.74	nan
J1643−1224	713 2.96	-12.40	1.5	12	16:43:38.161543	−12:24:58.6731	2.55
J1713+0747	880 0.24	-13.5	2.4	12	17:13:49.53356	+07:47:37.4825	0.21
J1730−2304      655 1.48	-17.2	3.2	12	17:30:21.66836	−23:04:31.17	1.48
J1732−5049	144 2.75	-16.1	3.3	7.23	17:32:47.76668	−50:49:00.2052	2.72	
J1744−1134	855 0.61	-13.33	1.2	12	17:44:29.407554	−11:34:54.69427	nan
J1824−2452A	339 16.5	-12.60	3.7	10.36	18:24:32.0079	−24:52:10.848	0.57
J1832−0836	68 0.25		inf	0	2.86	18:32:27.5936	−08:36:55.00	nan
J1857+0943	580 1.93	-15.1	4.0	12	18:57:36.39042	+09:43:17.196	1.16
J1909−3744	1670 0.16	-14.5	2.4	12	19:09:47.433584	−37:44:14.51573	nan
J1939+2134	591 1.43	-13.34	3.2	12	19:39:38.561224	+21:34:59.12570	0.24
J2124−3358	889 2.52	inf	0	12	21:24:43.84783	−33:58:44.9190	nan
J2129−5721	540 1.19	-16.9	3.2	12	21:29:22.768535	−57:21:14.22517	0.98
J2145−0750	881 1.16	-13.04	1.4	12	21:45:50.460606	−07:50:18.4877	nan
J2241−5236	615 0.28	-13.48	1.4	5.98	22:41:42.01850	−52:36:36.2260	nan

# note: Porayko et al 2019 Table I&III
#	Ng et al. 2014 (downloaded)
#	Keith et al. 2011 (downloaded)
#	Burgay et al. 2012 (downloaded)
